Name,slug,Domain,LogoUrl,FullCompanyName,Description,Logo,Status,MonthlyYearlyToggle,MonthlyYearly,FreePeriod,TrialPeriod,FreePlan,NoPackages,PricingType,LowestPrice,HighestVisiblePrice,Price different between lowest and medium tier,LowToHigh,HighToLow,Highlighted,EnterpriseQuote,EnterprisePlanTier,EnterprisePlanBelow,CtaType,CtaName,FeaturesTickCross,FeaturesStrikethrough,FeaturesHiddenLowerTiers,FeaturesUnderneathPricing,EverythingIncludedHigherPlans,FeaturesUnavailable
Litmus,litmus,litmus.com,https://logo.clearbit.com/litmus.com,Litmus,Litmus is a testing and QA service for email marketers.,,Active,Yes,Monthly,7 days,,No,3,Standard,99.00,199,,Yes ,,No,Yes,,,Top,Start a free trail / buy now,,,,,Yes,
Aircall,aircall,aircall.io,https://logo.clearbit.com/aircall.io,Aircall,"Aircall is a cloud-based call center software that integrates with CRM, productivity, and helpdesk tools.",,Active,No,No,7 days,,No,3,Standard,30.00,50,,Yes ,,Yes,Yes,,,Bottom,Start Your Free Trail,,,,,Yes,
Vendasta,vendasta,vendasta.com,https://logo.clearbit.com/vendasta.com,Vendasta,Vendasta offers software and services to professionals who sell digital solutions to local businesses.,,Active,No,No,7 days,,Yes,5,Standard,50.00,999,,Yes ,,Yes,Yes,,,N/A,N/A,Yes,,,,,
Pabbly,pabbly,pabbly.com,https://logo.clearbit.com/pabbly.com,Pabbly,Pabbly Subscription is a recurring billing & subscription management software that automates the entire subscription lifecycle.,,Active,Yes,Yearly,7 days,,No,3,Standard,39.00,99,,Yes ,No,Yes(Best deal),No,,,Top,Get started,,,,,Yes,
Amplifr,amplifr,amplifr.com,https://logo.clearbit.com/amplifr.com,Amplifr,"Social media scheduling and analytics for brands, publishers, and small business.",,Active,No,,7 days,,No,4,Standard,30.00,500,,Yes ,,No,No,,,Bottom,Start your free trail,Yes,,,,,
PicMonkey,picmonkey,picmonkey.com,https://logo.clearbit.com/picmonkey.com,PicMonkey,PicMonkey is a visual communications platform that enables both non-designers and designers alike to quickly create stunning visuals.,,Active,No,,7 days,,No,3,Standard,7.99,33.99,,Yes ,,Yes (Best value),No,,,Top and bottom,Try,Yes,,,,,
Everlance,everlance,everlance.com,https://logo.clearbit.com/everlance.com,Everlance,Everlance provides automatic mileage and expense tracking.,,Active,No,No,7 days,,Yes,3,Standard,0.00,8,,Yes ,,No,Yes,,,Top,Get Premium,,,,Yes,,
Everlance,everlance,everlance.com,https://logo.clearbit.com/everlance.com,Everlance,Everlance provides automatic mileage and expense tracking.,,Active,No,No,10 days,,Yes,3,Standard,8.00,N/A,,Yes ,No,No,No,,,Top,Download now,,,Yes,,,
Mavenlink,mavenlink,mavenlink.com,https://logo.clearbit.com/mavenlink.com,Mavenlink,Mavenlink is a transformative SaaS platform for the modern professional services organization.,,Active,No,No,10 days,,No,4,Per user,19.00,39,,Yes ,No,no,Yes,,,Top,Try for free,Yes,,,,,
Pluralsight,pluralsight,pluralsight.com,https://logo.clearbit.com/pluralsight.com,Pluralsight,"Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.",,Active,No,,10 days,,No,3,Standard,19.00,239,,Yes ,,No,No,,,Top,Get started,,,,Yes,,
Nightwatch,nightwatch-business,nightwatch.io,https://logo.clearbit.com/nightwatch.io,Nightwatch,Search Visibility Tracker of the Future,,Active,Yes,Yearly,10 days,,No,2,Standard,99.00,199,,Yes ,,No,No,,,Side,Try now,,,,Yes,,
Dunked,dunked,dunked.com,https://logo.clearbit.com/dunked.com,Dunked,Dunked is a web application that provides users an easy solution to create and maintain an online portfolio.,,Active,No,No,10 days,,No,2,Standard,12.00,29,,,Yes,No,No,,,N/A,N/A,,,,Yes,,
DroneDeploy,dronedeploy,dronedeploy.com,https://logo.clearbit.com/dronedeploy.com,DroneDeploy,DroneDeploy is a cloud-based drone mapping and analytics platform to help businesses get things done.,,Active,No,No,14 days,,No,3,Standard,149.00,449,,Yes ,,no,Yes,,,Bottom,Buy it,,,,,Yes,
Splunk,splunk,splunk.com,https://logo.clearbit.com/splunk.com,Splunk,"Splunk provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",,Active,Yes,Yearly,14 days,,No,4,Per user,10.00,33,,Yes ,No,Yes(Most popular),Yes,,,Top,Get started,Yes,,,,,
FunctionFox,functionfox,functionfox.com,https://logo.clearbit.com/functionfox.com,FunctionFox,FunctionFox is the leading provider of timesheets and project management software for creative teams.,,Active,No,No,14 days,,No,3,Per user,5.00,20,,Yes ,No,No,No,,,Top,Free demo,,,,,,Yes
Landingi,landingi-business,landingi.com,https://logo.clearbit.com/landingi.com,Landingi,End-to-end platform for landing pages,,Active,Yes,Yearly,14 days,,No,5,Standard,15.00,79,,No,Yes,Yes (Most popular),No,,,Top and Bottom,Try for free and Sign up for free,Yes,,,,,
Pipedrive,pipedrive,pipedrive.com,https://logo.clearbit.com/pipedrive.com,Pipedrive,Pipedrive is the first CRM platform developed from the salesperson’s point-of-view.,,Active,Yes,Annual,14 days,,No,4,Per user,15.00,99,,Yes ,,Yes(Recommended),No,,,Top,Try it free,,,,,Yes,
Content Studio,content-studio,contentstudio.io,https://logo.clearbit.com/contentstudio.io,ContentStudio,"ContentStudio is a data-driven content marketing and social media management platform for businesses, agencies, publishers and marketers.",,Active,Yes,Monthly,14 days,,No,4,Standard,49.00,299,,Yes ,,No,No,,,Top and Bottom,Get started,Yes,,,,,
Everypost,everypost,everypost.me,https://logo.clearbit.com/everypost.me,Everypost,Everypost is a social media tool that enables publishers to post multimedia content across multiple social platforms.,,Active,Yes,Monthly,14 days,,Yes,5,Standard,9.99,99.99,,Yes ,,yes(most popoular),No,,,Bottom,14 days free trail,,,,yes,,
Prezi,prezi,prezi.com,https://logo.clearbit.com/prezi.com,Prezi,"Welcome to Prezi, the presentation software that uses motion, zoom, and spatial relationships to bring your ideas to life and make you a great presenter.",,Active,No,No,14 days,,No,3,Standard,7.00,59,,Yes ,,Yes(Most popular),No,,,Bottom,Start Your Free Trail,Yes,,,,,
Redbooth,redbooth,redbooth.com,https://logo.clearbit.com/redbooth.com,Redbooth,Redbooth is a task and project management platform that provides a single place for team collaboration.,,Active,Yes,Yearly,14 days,,No,3,Per user,12.00,18.75,,Yes ,No,Yes,Yes,,,Not Shown,Not shown,Yes,,,,,
BlueJeans,bluejeans,bluejeans.com,https://logo.clearbit.com/bluejeans.com,BlueJeans Network,"BlueJeans offers interactive, multi-directional video communication services through a cloud-based platform.",,Active,No,,14 days,,No,3,Per user,12.49,16.65,,Yes ,,Yes(recommended),Yes,,,Top,Buy now,,,,,Yes,
Slaask,slaask,slaask.com,https://logo.clearbit.com/slaask.com,Slaask,Your customer service chat app for Slack.,,Active,Yes,Monthly,14 days,,No,4,Standard,29.00,199,,Yes ,No,Yes,No,,,Top,Get free trail,,,,,Yes,
LiveAgent,liveagent,liveagent.com,https://logo.clearbit.com/liveagent.com,LiveAgent,"Stand out from your competitors with a strong customer service cultureIf you are not taking care of your customers, your competitor will. Stay close to your customers with the right help desk software. Get Started | 14 days free No Credit Card Required Insert Content Template or Symbol 3,000+ reviews on top comparison websites Insert … Read More",,Active,No,No,14 days,,No,3,Per user,15.00,39,,Yes ,No,Yes,No,,,Bottom,Start trail,Yes,,,,,
Accelo,accelo,accelo.com,https://logo.clearbit.com/accelo.com,Accelo,Automates how professional services run in the cloud,,Active,No,No,14 days,,No,5,Per user,39.00,79,,Yes ,No,No,No,,,Top and Bottom,Start free trail,,,,Yes,,
PandaDoc,pandadoc,pandadoc.com,https://logo.clearbit.com/pandadoc.com,PandaDoc,"PandaDoc enables users to create, deliver, and manage their teams’ quotes, proposals, contracts, and other sales collateral.",,Active,Yes,Yearly,14 days,,No,4,Per user,13.00,59,,Yes ,,Yes(recommeded),Yes,,,Top,Start a Free Trail,,,Yes,,,
Mention,mention,mention.com,https://logo.clearbit.com/mention.com,Mention,"Mention is a tool for brand monitoring, social listening and reputation management for enterprises and agencies.",,Active,Yes,Yearly,14 days,,Yes,4,Standard,29.00,400,,Yes ,,Yes(Most popular),No,,,Top,Start free trail,Yes,,,,,
BugHerd,bugherd,bugherd.com,https://logo.clearbit.com/bugherd.com,BugHerd,The visual feedback tool for websites. It’s like using sticky-notes to capture and pin client feedback directly onto a page.,,Active,No,No,14 days,,No,4,Standard,29.00,150,,Yes ,No,no,No,,,Bottom,Start free trail,,,,,Yes,
Unbounce,unbounce,unbounce.com,https://logo.clearbit.com/unbounce.com,Unbounce,Unbounce is a drag-and-drop builder that allows users to create and publish customized landing pages.,,Active,Yes,Annual,14 days,,No,3,Standard,99.00,499,,,Yes,Yes(Recommemded),No,,,Bottom,Start my free 14 days trial,Yes,,,,,
Reply,reply,reply.io,https://logo.clearbit.com/reply.io,Reply,"Reply is a sales acceleration platform, it automates one-to-many communication, while keeping it 100% personal.",,Active,Yes,No,14 days,,No,3,Standard,200.00,500,,Yes ,,No,No,,,Bottom,Try It For 14days,,,,yes,,
LightCMS,lightcms,lightcms.com,https://logo.clearbit.com/lightcms.com,LightCMS,This listing has been replaced by a product listing for LightCMS. Click here to view the [CrunchBase product listing for LightCMS],,Active,No,No,14 days,,No,5,Standard,19.00,99,,Yes ,No,No,No,,,Top,Sign up for free,,,,Yes,,
Contactually,contactually,contactually.com,https://logo.clearbit.com/contactually.com,Contactually,Contactually is a relationship marketing platform that helps companies and individuals keep and generate business from their network.,,Active,No,,14 days,,No,2,Standard,69.00,119,,Yes ,,No,No,,,Top,Start free trial,,Yes,,,,
Mavsocial,mavsocial,mavsocial.com,https://logo.clearbit.com/mavsocial.com,MavSocial,Social media marketing and advertising software,,Active,Yes,Annual,14 days,,No,4,Standard,19.00,499,,Yes ,,Yes(Most popular),Yes,,,Top and Bottom,Start your free trail,,Yes,,,,
Bugsnag,bugsnag,bugsnag.com,https://logo.clearbit.com/bugsnag.com,Bugsnag,Bugsnag provides an automated crash detection platform for web and mobile applications.,,Active,Yes,Yearly,14 days,,Yes,3,Standard,69.00,N/A,,Yes ,No,Yes,Yes,,,Top,Start free trail,Yes,,,,,
Forecast,forecast,forecast.ly,https://logo.clearbit.com/forecast.ly,Forecastly,Forecastly produces a predictive analytics tool for Amazon marketplace sellers that helps in inventory management.,,Active,Yes,Yearly,14 days,,No,3,Per user,30.00,49,,Yes ,No,Yes(Recommended),Yes,,,Top,Start free trail,Yes,,,,,
Intermix,intermix,intermixonline.com,https://logo.clearbit.com/intermixonline.com,INTERMIX,New York-based women's fashion boutique,,Active,No,No,14 days,,No,3,Standard,295.00,750,,No,Yes,No,Yes,,,Bottom,Start a free trail,yes,,,,,
Tradegecko,tradegecko,tradegecko.com,https://logo.clearbit.com/tradegecko.com,TradeGecko,TradeGecko is an inventory and order management platform for modern wholesale merchants.,,Active,Yes,Yearly,14 days,,No,4,Standard,39.00,699,,Yes ,,No,No,,,Bottom,Try,,,Yes,,,
Smartmeter,smartmeter,smartmeterguard.com,https://logo.clearbit.com/smartmeterguard.com,Smart Meter Guard,"Smart Meter Guard Cover protection is designed to protect, block and shield EMF and RF radiation emitted by Smart Meters. The Smart Meter Guard is easy to install, affordable, and safe! Smart Meter Cover for EMF shield. EMF protection and EMF shielding is essential if you don't want to be exposed to the EMF smarts.",,Active,Yes,Monthly,14 days,,No,4,Standard,39.00,299,,Yes ,No,Yes,Yes,,,Top,Purchase,yes,,,,,
Mediatoolkit,mediatoolkit,mediatoolkit.com,https://logo.clearbit.com/mediatoolkit.com,Mediatoolkit,"Get notified immediately when your company, brand or competitors are mentioned on the internet.",,Active,Yes,Monthly,14 days,,No,4,Standard,117.00,1100,,Yes ,,Yes(Most popular),Yes,,,Top and Bottom,Start free trail,Yes,,,,,
Froont,froont-for-designers,froont.com,https://logo.clearbit.com/froont.com,Froont,"Create, share and discover responsive designs with Froont",,Active,No,No,14 days,,No,3,Standard,21.00,99,,Yes ,No,Yes(Most popular),No,,,Top,Join for free,,,,Yes,,
Elevio,elevio,elev.io,https://logo.clearbit.com/elev.io,Elevio,"Elevio is a user education and onboarding platform, allowing companies to upskill their user base with ease",,Active,No,No,14 days,,No,3,Standard,99.00,299,,Yes ,No,Yes,No,,,Top and Bottom,Get started,,Yes,,,,
GoToMeeting,gotomeeting,gotomeeting.com,https://logo.clearbit.com/gotomeeting.com,GoTo,"GoToMeeting is a web conferencing service offering a range of services which are available on Mac, PC, iOS and Android devices.",,Active,Yes,Annual,14 days,,No,3,Standard,24.00,59,,Yes ,,Yes(Most popular),No,,,Top,Buy,,Yes,,,,
Lemtalk,lemtalk,talkus.io,https://logo.clearbit.com/talkus.io,lemtalk.com,At Talkus we help businesses exploit the full sales potential of their online presence,,Active,Yes,Monthly,14 days,,No,3,Standard,48.00,249,,No,Yes,No,No,,,Bottom,Try 14day trial,,,,Yes,,
Paperform,paperform,paperform.co,https://logo.clearbit.com/paperform.co,Paperform,"More than a form builder. Easily create beautiful forms, payment or product pages that feel truly yours.",,Active,Yes,Yearly,14 days,,No,3,Standard,15.00,99,,Yes ,,No,No,,,Top,Try,Yes,,,,,
LingoHub,lingohub,lingohub.com,https://logo.clearbit.com/lingohub.com,LingoHub,"Lingohub is an innovative solution for developers and translators that makes localizing software, mobile or web applications and on-demand.",,Active,No,No,14 days,,No,4,Standard,24.00,149,,No,Yes,No,Yes,,,Bottom,Get your free trial,,,Yes,,,
Animoto,animoto,animoto.com,https://logo.clearbit.com/animoto.com,Animoto,Animoto allows users to create professional-quality video.,,Active,Yes,Yearly,14 days,,No,3,Standard,9.00,94,,Yes ,,Yes(Most popular),No,,,Top,Buy,,,Yes,,,
Sotrender,sotrender,sotrender.com,https://logo.clearbit.com/sotrender.com,Sotrender,No-bullshit analytics for social media,,Active,No,No,14 days,,No,4,Standard,35.00,145,,Yes ,,Yes(Most popular),No,,,Top,Get Started,,,,Yes,,
GetAccept,getaccept,getacceptd.com,https://logo.clearbit.com/getacceptd.com,Acceptd,"Acceptd is a platform connecting artists with thousands of colleges, festivals, scholarships, and professional opportunities.",,Active,No,No,14 days,,No,4,Per user,25.00,60,,Yes ,,Yes(Most popular),Yes,,,Top,Buy a Demo,,,,,Yes,
Informed,informed,informed.co,https://logo.clearbit.com/informed.co,Informed.co,Informed is a competitive repricing platform that helps online businesses drive profits using smart algorithms and actionable insights.,,Active,Yes,Monthly,14 days,,No,3,Standard,99.00,299,,Yes ,No,No,No,,,Bottom,Start free trial,,Yes,,,,
Frontify,frontify,frontify.com,https://logo.clearbit.com/frontify.com,Frontify,"Frontify is the all-in-one brand management software for increasing brand consistency, efficiency, and design collaboration. Providing clarity in an otherwise complicated brand world, it’s where powerful brand experiences are created and shared – a single source of truth.",,Active,Yes,Yearly,14 days,,yes,4,Standard,99.00,349,,Yes ,,No,Yes,,,Top and Bottom,Free trial,Yes,,,,,
Knowledgeowl,knowledgeowl,knowledgeowl.com,https://logo.clearbit.com/knowledgeowl.com,KnowledgeOwl,KnowledgeOwl is a software company which develops easy-to-use knowledge base software that is both powerful and fully customizable.,,Active,No,No,14 days,,No,3,Per user,79.00,299,,Yes ,No,Yes,No,,,Bottom,Start 14day free trail,,,,,Yes,
Zapier,zapier,zapier.com,https://logo.clearbit.com/zapier.com,Zapier,Zapier allows its users to easily connect and automate the apps they use.,,Active,No,No,14 days,,Yes,5,Standard,24.99,748.75,,Yes ,,No,No,,,Top,Try free,,,Yes,,,
Siteleaf,siteleaf,siteleaf.com,https://logo.clearbit.com/siteleaf.com,Siteleaf,"Built for developers, Loved by everyone. Supports Jekyll, user collaboration, publishing to AWS S3, GitHub Pages, FTP, and more.",,Active,No,No,14 days,,Yes,5,Per user,7.20,299,,,Yes,No,No,,,Top,Try for free,,,,,Yes,
Lifesize,lifesize,lifesize.com,https://logo.clearbit.com/lifesize.com,Lifesize,"Lifesize is a global innovator of video conferencing, collaboration, and meeting productivity solutions.",,Active,No,No,14 days,,No,3,Per user,12.95,16.95,,,Yes,Yes(Most popular),No,,,Top,Contact sales,,,,,Yes,
Publer,publer,publer.io,https://logo.clearbit.com/publer.io,Publer,"Publer is a virtual social media superhero that allows users to collaborate, schedule, and analyze their posts for social media platforms.",,Active,Yes,Monthly,14 days,,Yes,3,Standard,10.00,15,,Yes ,,Yes(Most popular),No,,,Bottom,Start a free 14day trial,,,,,Yes,
Shopify,shopify,shopify.com,https://logo.clearbit.com/shopify.com,Shopify,"We’re not just an ecommerce software, Shopify is the best ecommerce platform that has everything you need to sell online, on social media, or in person.",,Active,No,,14 days,,No,3,Standard,29.00,299,,Yes ,,No,No,,,Top,Start your free trial,Yes,,,,,
Lookback,lookback,lookback.io,https://logo.clearbit.com/lookback.io,Lookback,Lookback is a platform for easy-to-use software testing solutions.,,Active,Yes,Yearly,14 days,,No,3,Per user,59.00,119,,Yes ,,Yes(Most popular),Yes,,,Bottom,Start free trail,,,,,Yes,
AppVeyor,appveyor,appveyor.com,https://logo.clearbit.com/appveyor.com,AppVeyor,Appveyor Systems Inc. aim is to give powerful continuous integration and deployment tools to every .NET developer.,,Active,No,No,14 days,,Yes,4,Standard,29.00,99,,Yes ,No,no,No,,,Bottom,Sart free 14days trail,,,,yes,,
Framer,framer,framer.com,https://logo.clearbit.com/framer.com,Framer,"Framer is a tool to design interactive high-fidelity prototypes for iOS, Android, desktop, or the web.",,Active,Yes,Yearly,14 days,,No,3,Standard,15.00,99,,Yes ,,Yes(Best Value),Yes,,,Bottom,Subscribe Now,,,Yes,,,
BrightLocal,brightlocal,brightlocal.com,https://logo.clearbit.com/brightlocal.com,BrightLocal,BrightLocal provide trusted local SEO tools for search marketing agencies and consultants.,,Active,Yes,Monthly,14 days,,No,4,Standard,29.00,79,,Yes ,,Yes(Best Value),Yes,,,Top,Try For Free,,,Yes,,,
Google,google-g-suite,google.com,https://logo.clearbit.com/google.com,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.",,Active,No,,14 days,,No,3,Per user,6.00,25,,Yes ,,Yes (Best value),No,,,Top,Get started,,,Yes,,,
Userlike,userlike,userlike.com,https://logo.clearbit.com/userlike.com,Userlike,Userlike offers a professional and lightweight live chat software for websites.,,Active,No,No,14 days,,Yes,5,Standard,0.00,299,,Yes ,No,No,Yes,,,Bottom,Get started,,,,Yes,,
Ontraport,ontraport,ontraport.com,https://logo.clearbit.com/ontraport.com,Ontraport,"A breakthrough web app where CRM meets automation to power your marketing, sales and business systems all in one place.",,Active,No,No,14 days,,No,4,Standard,79.00,497,,Yes ,,Yes(Most popular),Yes,,,Bottom,Try it free,Yes,,,,,
Commun.it,communit,commdiginews.com,https://logo.clearbit.com/commdiginews.com,Communities Digital News,Telling the Whole Story 24 Hours a Day,,Active,No,,14 days,,Yes,4,Standard,19.99,24.99,,,Yes,Yes(Most popular),Yes,,,Top,Sign up for free,,,Yes,,,
Font Awesome,font-awesome,fontawesome.com,https://logo.clearbit.com/fontawesome.com,Font Awesome,Font Awesome is always getting a little awesome-er.,,Active,No,No,14 days,,No,2,Standard,4.10,8.5,,Yes ,,Yes(Most popular),No,,,Bottom,Signup,,,,Yes,,
ActiveCampaign,activecampaign,activecampaign.com,https://logo.clearbit.com/activecampaign.com,ActiveCampaign,ActiveCampaign is the Customer Experience Automation (CXA) category leader.,,Active,Yes,Yearly,14 days,,No,4,Standard,15.00,279,,Yes ,,Yes(Most popular),No,,,Top,Signup Now,,,,,Yes,
Deskero,deskero,deskero.com,https://logo.clearbit.com/deskero.com,Deskero,Customer service management software,,Active,Yes,Yearly,14 days,,No,3,Per user,9.00,90,,Yes ,,No,No,,,Bottom,Buy / Try,,,,Yes,,
Unleashed,unleashed,unleashedsoftware.com,https://logo.clearbit.com/unleashedsoftware.com,Unleashed Software,"Unleashed Software offers a real-time inventory management platform for the small, medium and enterprise market.",,Active,No,No,14 days,,No,4,Standard,150.00,775,,Yes ,No,Yes,No,,,Top,Start your free trial now,Yes,,,,,
Nimble,nimble,nimble.com,https://logo.clearbit.com/nimble.com,Nimble,Nimble is a Web and SaaS-based platform providing small businesses with high-end CRM systems combined with social media.,,Active,Yes,Yearly,14 days,,No,1,Per user,25.00,N/A,,N/A,,No,No,,,Top and Bottom,Try it for free,,,,Simple,,
Saucelabs,saucelabs,saucelabs.com,https://logo.clearbit.com/saucelabs.com,Sauce Labs,Sauce Labs provides cloud-based testing for mobile and web applications.,,Active,Yes,Yearly,14 days,,No,3,Standard,29.00,469,,Yes ,No,No,No,,,Bottom,Get stared,,,,Yes,,
Proposify,proposify,proposify.com,https://logo.clearbit.com/proposify.com,Proposify,"Proposify helps modern sales teams create, send, track, and e-sign winning proposals, contracts, and agreements.",,Active,No,No,14 days,,No,3,Per user,19.00,49,,Yes ,No,Yes,Yes,,,Top and Bottom,Start free trail,Yes,,,,,
Planable,planable,planable.io,https://logo.clearbit.com/planable.io,Planable,Planable is the command centre for social media teams to work together on content.,,Active,No,,14 days,,No,3,Standard,39.00,99,,Yes ,,Yes,Yes,,,Bottom,Try premium,,,Yes,,,
Hubstaff,hubstaff,hubstaff.com,https://logo.clearbit.com/hubstaff.com,Hubstaff,Time Tracking Software with Screenshots and 30 integrations,,Active,Yes,Monthly,14 days,,Yes,4,Per user,7.00,20,,Yes ,No,Yes,No,,,Top and Bottom,Start free trail,,Yes,,,,
Promorepublic,promorepublic-for-agencies-and-freelancers,promorepublic.com,https://logo.clearbit.com/promorepublic.com,PromoRepublic,"Calendar of Content Ideas that helps you create stunning social media posts based on holidays, trends, events and more",,Active,Yes,Annual,14 days,,No,3,Standard,49.00,182,,Yes ,,No,No,,,Top and Bottom,Try it free,,Yes,,,,
Buffer,buffer-publish,buffer.com,https://logo.clearbit.com/buffer.com,Buffer,Social Media Management Software for Growing Brands,,Active,Yes,Monthly,14 days,,No,3,Standard,15.00,99,,Yes ,,No,No,,,Bottom,Start a 14 day trial,Yes,,,,,
Sonar,sonar,sonar.software,https://logo.clearbit.com/sonar.software,Sonar,Sonar Software is a information services technology company located in DeBolt.,,Active,Yes,Yearly,14 days,,No,4,Per user,18.00,55,,Yes ,No,Yes(recommended),Yes,,,Top,Try free,,,Yes,,,
